Cepheid ID,Galaxy_ID,Period,Apparent Magnitude
XYZ327698,PGC042442,6.913737807616289,29.893028260298042
XYZ688155,KDG141,1.0999320442044278,31.585813509706806
XYZ884767,UGC07387,19.82671014038937,29.292294929683404
XYZ819234,PGC041193,44.914686414495286,29.030387860365423
XYZ360483,UGC06670,1.8843514509607224,31.221404241957696
XYZ884778,IC3355,13.9061305332882,29.596338880405295
XYZ491566,PGC041185,1.4279968807714478,31.49809613379258
XYZ983086,NGC4324,30.28225958692223,29.1148611279497
XYZ426030,PGC040615,12.51778001093337,29.507467686958435
XYZ294961,GR34,34.81473753618661,28.835957091075056
XYZ950322,NGC4303,2.9396707562986393,12.20806408487675
XYZ753713,AGC219628,3.3949362754780052,30.75205721024747
XYZ131125,NGC4771,23.043297292398588,29.12954517003101
XYZ262202,PGC040434,13.97721176721379,29.389483982906608
XYZ294977,PGC040588,3.903761273416228,30.903310610622423
XYZ688198,IC3065,9.315536667100497,30.0431206868801
XYZ753734,PGC3295391,20.400921265704934,29.472894686674113
XYZ917575,PGC2832063,13.61747861092973,29.802603275120745
XYZ786506,PGC040411,8.293521099992315,29.768110457333083
XYZ983114,PGC044215,1.2797597788386559,7.661057698895352
XYZ327770,UGC08382,21.271719943370837,29.767962713479008
XYZ393311,PGC041720,15.507774617284728,29.53265090359579
XYZ229473,NGC4694,3.0277843044805697,30.999578328511387
XYZ327785,UGC08061,5.900725184219222,7.832379294982502
XYZ327801,NGC4470,4.392452483993152,12.646982348973015
XYZ721019,NGC4540,12.0934118764928,29.534323273649555
XYZ360572,IC3025,47.6819960051432,28.747011903364626
XYZ819327,PGC086434,40.663871232606986,28.551499214741373
XYZ295045,SDSSJ121953.72+060156.4,0.9587212337087662,31.411236902281537
XYZ622731,PGC041209,24.636136754180214,28.902382638497972
XYZ950415,SDSSJ125504.03+074316.9,4.619236311401592,30.655684843258562
XYZ360598,PGC041193,8.136182690315053,30.23092566875903
XYZ295068,PGC1364593,10.161550528744852,29.949447320847217
XYZ917661,NGC4383,37.995127803606174,28.777267940778056
XYZ131231,NGC4348,6.941307306685382,30.04122000322629
XYZ983204,PGC039638,16.295670345991216,29.562679500172695
XYZ688295,PGC039008,3.87286982386356,30.477967057824348
XYZ196780,AGC232137,4.035926348674943,30.526213665630394
XYZ458932,PGC1143249,1.0564701522121722,31.422874591120937
